cod,texto
m1, interés alumno implementando estrategias lúdicas pontencializar conocimiento
m2, desarrollo habilidades aprendizajes logra  efectiva rasgos perfil egreso
m3,desarrollo competencias habilidades  alumnos desarrollo integral
m4,Enseñando aprender 
