cod,texto
m1,Son actividades que incluyen aspectos lúdicos y recreativos utilizados para favorecer los aprendizajes en los alumnos
m2,Actividades lúdicas para el logro de los aprendizajes promoviendo la participación de todos los alumnos
m3,Las estrategias que ayudan a los niños a sentirse motivados por el aprendizaje
m4,Son aquel tipo de actividades que implican actividades lúdicas
